# schema=range-replay-measurement/v1
# complete=true
# cache_condition=warm_after_one_warmup_per_row
# data_file=/tmp/range-replay-vps.1fRZZs/data-2g.bin
# data_file_bytes=2147483648
# required_data_bytes=805502975
# logical_bytes_per_workload=268435456
# warmups_per_row=1
# measured_repetitions=8
# max_byte_budget_depth=16
# clock_ticks_per_second=100
workload	pattern	backend	submitted_depth	phase	repetition	logical_range_bytes	read_size_bytes	byte_budget_bytes	logical_bytes	physical_bytes	physical_operations	elapsed_ns	user_cpu_ticks	system_cpu_ticks	cpu_ns	throughput_bytes_per_second	output_sha256	bytes_equal_to_pread
scattered_4k	scattered	pread	1	measured	7	4096	4096	65536	268435456	268435456	65536	14554790891	1431	24	14550000000	18443099	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	1	measured	7	4096	4096	65536	268435456	268435456	65536	8094382202	780	29	8090000000	33163180	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	16	measured	8	4096	4096	65536	268435456	268435456	65536	7135580989	690	24	7140000000	37619285	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	pread	1	measured	8	4096	4096	65536	268435456	268435456	65536	12480047141	1227	21	12480000000	21509170	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	1	measured	8	4096	4096	65536	268435456	268435456	65536	7327939444	706	26	7320000000	36631778	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	4	measured	8	4096	4096	65536	268435456	268435456	65536	7900357396	760	30	7900000000	33977634	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
sequential_64k	mostly_sequential	pread	1	warmup	0	65536	65536	1048576	268435456	268435456	4096	134609449	9	4	130000000	1994179888	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	1	warmup	0	65536	65536	1048576	268435456	268435456	4096	120157694	6	5	110000000	2234026362	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	4	warmup	0	65536	65536	1048576	268435456	268435456	4096	122289244	7	5	120000000	2195086396	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	16	warmup	0	65536	65536	1048576	268435456	268435456	4096	118779073	7	4	110000000	2259955808	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
